date,value_0w,value_1w,value_2w,value_3w,value_4w,value_5w,age_group
2014-06-16,4556,1266,176,63,224,19,00+
2014-06-23,4859,568,83,286,2,7,00+
2014-06-30,3955,691,533,37,3,15,00+
2014-07-07,3798,1123,57,8,51,89,00+
2014-07-14,3697,789,15,314,47,102,00+
2014-07-21,3636,464,375,57,64,19,00+
2014-07-28,3911,556,147,83,66,102,00+
2014-08-04,3719,516,85,161,118,43,00+
2014-08-11,3565,848,194,232,46,20,00+
2014-08-18,3686,565,791,97,57,77,00+
2014-08-25,3899,1289,309,140,70,0,00+
2014-09-01,4339,686,812,83,0,0,00+
2014-09-08,5934,1572,408,0,0,0,00+
2014-09-15,7339,980,0,0,0,0,00+
2014-09-22,7987,0,0,0,0,0,00+
2014-09-29,8175,1106,171,275,180,51,00+
2014-10-06,8897,956,542,212,63,78,00+
2014-10-13,10053,1045,258,177,191,128,00+
2014-10-20,10106,791,413,555,125,90,00+
2014-10-27,10288,1059,475,175,68,112,00+
2014-11-03,11030,1602,545,234,177,87,00+
2014-11-10,11611,1154,313,453,133,0,00+
2014-11-17,12735,2481,1024,287,0,36,00+
2014-11-24,15450,1514,459,0,102,35,00+
2014-12-01,19340,2937,0,118,189,69,00+
2014-12-08,27487,0,741,504,105,207,00+
2014-12-15,28964,4943,1963,601,232,73,00+
2014-12-22,32022,5648,1545,298,51,90,00+
2014-12-29,32726,2372,931,75,236,170,00+
2015-01-05,27209,2608,718,330,151,64,00+
2015-01-12,25789,3119,907,390,115,127,00+
2015-01-19,28531,2502,726,315,250,183,00+
2015-01-26,25586,3157,519,263,256,499,00+
2015-02-02,23610,2348,718,465,710,62,00+
2015-02-09,20391,2808,454,384,490,429,00+
2015-02-16,18139,1442,690,451,194,128,00+
2015-02-23,15911,1955,504,306,340,104,00+
2015-03-02,15294,2037,345,528,103,18,00+
2015-03-09,14863,1574,659,151,361,43,00+
2015-03-16,13708,2110,171,441,90,56,00+
2015-03-23,13772,1372,606,76,186,73,00+
2015-03-30,12147,1886,275,252,95,159,00+
2015-04-06,11688,1178,387,111,124,57,00+
2015-04-13,9612,1158,291,159,164,23,00+
2015-04-20,9092,1161,208,136,6,31,00+
2015-04-27,9060,993,140,82,172,39,00+
2015-05-04,8702,924,226,213,45,35,00+
2015-05-11,7558,1182,241,131,37,46,00+
2015-05-18,7015,1311,482,46,55,10,00+
2015-05-25,6934,799,92,54,11,114,00+
2015-06-01,5802,642,202,43,149,59,00+
2015-06-08,4708,1336,522,69,46,109,00+
2015-06-15,4607,966,120,59,98,14,00+
2015-06-22,4937,734,79,150,24,77,00+
2015-06-29,4569,393,189,27,94,26,00+
2015-07-06,4086,887,27,92,71,66,00+
2015-07-13,4020,583,133,71,97,36,00+
2015-07-20,3749,803,111,78,29,19,00+
2015-07-27,4016,325,174,46,70,0,00+
2015-08-03,3754,754,171,120,3,9,00+
2015-08-10,3932,544,238,23,4,42,00+
2015-08-17,4168,815,109,28,95,60,00+
2015-08-24,4260,1023,141,97,58,66,00+
2015-08-31,4373,1267,198,80,127,5,00+
2015-09-07,5419,471,70,164,14,47,00+
2015-09-14,6127,742,239,99,64,95,00+
2015-09-21,7239,463,111,132,81,0,00+
2015-09-28,7082,414,372,133,0,0,00+
2015-10-05,7679,908,447,158,111,170,00+
2015-10-12,8462,824,304,98,235,251,00+
2015-10-19,9193,947,248,272,266,500,00+
2015-10-26,8872,751,619,281,440,201,00+
2015-11-02,9666,1679,171,638,282,49,00+
2015-11-09,10617,793,794,354,58,65,00+
2015-11-16,10739,1619,831,202,117,57,00+
2015-11-23,10696,1028,259,132,114,75,00+
2015-11-30,12475,1500,319,0,0,0,00+
2015-12-07,12833,1461,205,0,0,27,00+
2015-12-14,13621,1037,274,0,34,86,00+
2015-12-21,13528,836,0,0,0,0,00+
2015-12-28,14711,120,217,182,0,70,00+
2016-01-04,13395,471,456,302,497,50,00+
2016-01-11,12759,1356,312,501,61,147,00+
2016-01-18,12987,1097,724,111,185,170,00+
2016-01-25,14926,1657,459,365,267,65,00+
2016-02-01,15342,1987,562,264,159,143,00+
2016-02-08,17912,1965,797,558,183,20,00+
2016-02-15,20229,2712,846,379,99,137,00+
2016-02-22,21219,3005,707,196,259,462,00+
2016-02-29,23768,2251,563,458,658,119,00+
2016-03-07,25234,2548,872,809,408,129,00+
2016-03-14,20496,2422,979,356,218,44,00+
2016-03-21,18389,1961,1076,202,80,78,00+
2016-03-28,15689,2192,845,248,130,237,00+
2016-04-04,14205,1191,395,407,245,38,00+
2016-04-11,13625,848,958,366,106,95,00+
2016-04-18,12781,1557,527,100,106,29,00+
2016-04-25,11722,1184,363,292,16,4,00+
2016-05-02,10139,1025,373,99,4,87,00+
2016-05-09,9332,879,173,87,88,36,00+
2016-05-16,8504,725,168,106,58,41,00+
2016-05-23,7648,582,105,104,54,34,00+
2016-05-30,7223,216,179,60,16,85,00+
2016-06-06,5908,772,145,64,119,6,00+
2016-06-13,5457,615,290,160,11,22,00+
2016-06-20,4872,602,293,23,27,16,00+
2016-06-27,4740,420,244,54,47,25,00+
2016-07-04,4538,274,61,71,40,22,00+
2016-07-11,4386,241,113,186,19,4,00+
2016-07-18,4343,194,268,53,35,19,00+
2016-07-25,4034,606,52,58,26,9,00+
2016-08-01,3906,360,55,46,49,18,00+
2016-08-08,3905,561,89,84,37,14,00+
2016-08-15,4507,404,94,50,33,50,00+
2016-08-22,5484,286,114,35,63,30,00+
2016-08-29,5376,592,76,69,34,195,00+
2016-09-05,5682,443,137,42,156,0,00+
2016-09-12,5565,1400,167,162,0,207,00+
2016-09-19,7502,260,152,0,154,105,00+
2016-09-26,6959,966,0,310,163,0,00+
2016-10-03,8313,1274,457,215,95,129,00+
2016-10-10,8497,1419,332,159,216,0,00+
2016-10-17,10095,801,310,303,20,52,00+
2016-10-24,10340,975,496,0,390,151,00+
2016-10-31,11414,1240,92,683,0,67,00+
2016-11-07,12090,633,646,312,132,165,00+
2016-11-14,12501,1232,750,267,156,49,00+
2016-11-21,12136,1346,379,195,122,8,00+
2016-11-28,14811,1491,329,123,13,176,00+
2016-12-05,15138,1192,410,149,124,449,00+
2016-12-12,16629,1131,279,164,537,147,00+
2016-12-19,18851,1362,622,704,172,30,00+
2016-12-26,21726,1647,923,318,63,259,00+
2017-01-02,21379,1658,456,306,412,62,00+
2017-01-09,21903,2091,712,410,59,39,00+
2017-01-16,25207,2688,642,303,92,75,00+
2017-01-23,28076,1971,601,175,183,201,00+
